Latitude,Longitude,Name,Details,Donate
"-8.1378044,31.2585236","AIT SAID","undefined","0"
"-8.092441,31.294004","TIFARWINE","undefined","0"
"-8.065914,31.414922","TAGADIRTE EL","undefined","0"
"-7.996342,31.280722","TOYOLI OU","undefined","0"
"-8.024706,31.286274","TADARTE KIKE","undefined","0"
"-8.037201,31.283529","AMSSINE KIKE","undefined","0"
"-8.031583,31.353071","TAZROUT","undefined","0"
"-8.0170239,31.3637368","AGHBALOU","undefined","0"
"-7.99115,31.34595","AGADIR SIDI","undefined","0"
"-7.993482,31.339203","IKARDE EL","undefined","0"
"-8.0472416,31.3380654","TIGHIRT","undefined","0"
"-8.043785,31.339076","TABOUJGANA","undefined","0"
"-8.040997,31.349574","ID BOUYAHIA","undefined","0"
"-8.022377,31.331381","ALLOUARG","undefined","0"
"-8.2039545,30.9578769","AGNI","undefined","0"
"-8.2147302,30.9563419","TOUZZONTANE","undefined","0"
"-8.1588134,30.9792151","ALLA NOUMARZI","undefined","0"
"-8.1865428,30.9870694","TALAT NYAKOUB","undefined","0"
"-8.184626,30.990834","AMAGDOULE","undefined","0"
"-8.1971069,30.9889483","DOU GOUJ","undefined","0"
"-8.1676413,30.9963704","AZROY N'SOUK","undefined","0"
"-8.2538768,30.978389","ADRAG","undefined","0"
"-8.244373,30.971236","ANABDOUR","undefined","0"
"-8.24372,30.968546","MZOUZITE","undefined","0"
"-8.1962394,30.9943015","AIT BARRIHI","undefined","0"
"-8.2873912,30.9277422","ASSOULE","undefined","0"
"-8.3125089,30.9395554","AMSSED","undefined","0"
"-8.3552948,30.9437999","TIFNI","undefined","0"
"-8.3077472,30.9078019","IFAZDADNE","undefined","0"
"-8.062764,31.15852","TAKHAFSATE","undefined","0"
"-8.2564705,30.9515155","IGHIL","undefined","0"
"-8.2662159,30.9486367","AZAL","undefined","0"
"-8.2208195,30.9529016","AIT BOUJMAA","undefined","0"
"-7.980911,31.139967","TAHLIWINE","undefined","0"
"-7.985305,31.138909","TIZI YANE","undefined","0"
"-7.973023,31.11902","TIZI OUSSAME","undefined","0"
"-7.977688,31.137181","AGUINANE","undefined","0"
"-8.0633429,31.0885456","TARGA","undefined","0"
"-8.0091532,31.190065","TINZARTE","undefined","0"
"-8.065913,31.17223","ANRAZE","undefined","0"
"-8.056884,31.167818","TOUROURTE","undefined","0"
"-8.0959819,31.1311683","AMASGUINE","undefined","0"
"-8.0984554,31.1533877","TAGADIRTE EL","undefined","0"
"-8.119663,31.123004","IMAGDAL","undefined","0"
"-8.075989,31.092895","TAWITE","undefined","0"
"-8.187585,31.132012","TIZIRTE","undefined","0"
"-8.2011686,31.1409095","AIT HSSAYNE","undefined","0"
"-8.067655,31.064674","AMASLANE","undefined","0"
"-8.051494,31.120226","ASSIF ZAGZAWNE","undefined","0"
"-8.119471,30.9685545","TAGHBARTE","undefined","0"
"-8.067363,30.9303336","TIGDIDE NIZDARENE","undefined","0"
"-8.046483,30.927976","TAGHZIRTE","undefined","0"
"-8.1540309,30.9936195","IJOKAKE","undefined","0"
"-8.0415873,30.993864","AKRDA","undefined","0"
"-8.048074,30.9909657","AIT MOUSSA","undefined","0"
"-8.061441,30.991273","TIGHARGHISTE","undefined","0"
"-8.1332681,30.9736778","DAR EL","undefined","0"
"-8.1114643,31.0240295","TASAMOUTE","undefined","0"
"-8.1221654,31.0245093","ALANOU MAZGHNI","undefined","0"
"-8.0032747,30.9970509","INKZDAME","undefined","0"
"-8.0333937,30.9942005","ATKI","undefined","0"
"-8.3194865,30.9784297","TADAFALTE","undefined","0"
"-8.290117,30.9746613","TAOURIRTE N'IZDAR","undefined","0"
"-8.2645027,30.9755187","TASSILA","undefined","0"
"-8.3420153,31.0001866","TIMSLAH","undefined","0"
"-8.3321748,30.9912182","GHASSAT","undefined","0"
"-8.3127393,30.9981769","TIZI TIGARTE","undefined","0"
"-8.3030573,30.9959224","OUDDIF","undefined","0"
"-7.908825,31.223119","TISSILI","undefined","0"
"-8.40914,30.990275","ARGUE","undefined","0"
"-8.3977229,30.9848078","WAWDID","undefined","0"
"-7.91669,31.126237","ARAMD","undefined","0"
"-7.909981,31.140965","AIT SOUKA","undefined","0"
"-7.926283,31.136985","MEZZIKENE","undefined","0"
"-7.925307,31.160414","AGUERSIOUAL","undefined","0"
"-7.938914,31.204923","IMSKAR","undefined","0"
"-7.946955,31.178213","OUAOUSSAFL","undefined","0"
"-7.949907,31.190824","TINITINE","undefined","0"
"-7.921946,31.137235","IMLIL","undefined","0"
"-7.978107,31.228796","DR ASNI","undefined","0"
"-7.986995,31.239028","TAMGOUNSI","undefined","0"
"-7.9577912,31.2005676","TAGADIRTE NAIT","undefined","0"
"-7.9558622,31.1928341","IMI OU","undefined","0"
"-8.4417014,30.9169516","ZRIJT","undefined","0"
"-8.4249502,30.9152043","IGG","undefined","0"
"-8.3949437,30.9300568","IKIS","undefined","0"
"-8.3983488,30.9120663","TANAMMARE","undefined","0"
"-8.333247,31.277115","IMI-N- CHAABTE","undefined","0"
"-8.328674,31.245023","DAMRATE","undefined","0"
"-8.302759,31.299576","TWIBYA","undefined","0"
"-8.313207,31.305118","LASHAB","undefined","0"
"-8.303546,31.203632","TAGADIRTE","undefined","0"
"-8.312455,31.204381","TIALITE","undefined","0"
"-8.310356,31.231343","AIT BOUHADDOU","undefined","0"
"-8.303242,31.229495","LMOUNJLI","undefined","0"
"-8.32474,31.233703","AIT WAGANNA","undefined","0"
"-8.314993,31.242226","TIGRAR OU","undefined","0"
"-8.32382,31.264499","TABOUABDALLITE","undefined","0"
"-8.310663,31.245736","AWOUDIDE","undefined","0"
"-8.216772,31.290563","IGOUDAR","undefined","0"
"-8.256095,31.266381","ZAOUIA","undefined","0"
"-8.237645,31.269978","LAKHMISSE","undefined","0"
"-8.234875,31.262446","LAMHAMID","undefined","0"
"-8.16078,31.290252","AIT AMARA","undefined","0"
"-8.269191,31.244034","TAZEFRIT","undefined","0"
"-8.266884,31.247207","AIT DIB","undefined","0"
"-8.2766946,31.2513458","JNANE HEMAR","undefined","0"
"-8.359608,31.357645","OULAD HASSONE","undefined","0"
"-8.374033,31.365037","EL MRIJA","undefined","0"
"-8.27021,31.264921","LAAOUINA","undefined","0"
"-8.371942,31.373422","AIT ALLAL","undefined","0"
"-8.263862,31.267702","AIT BOUHAMED","undefined","0"
"-8.265707,31.277377","LAASSAKRA","undefined","0"
"-8.295218,31.340121","GOUJGAL","undefined","0"
"-8.349752,31.349887","OULAD DIB","undefined","0"
"-8.049215,31.272659","TADROKHTE","undefined","0"
"-8.0570441,31.2583459","AGDOUR KIK","undefined","0"
"-8.022766,31.241795","TIZI WADO","undefined","0"
"-8.086299,31.2595982","OUARIALTE","undefined","0"
"-8.089421,31.291753","FRASS","undefined","0"
"-8.082302,31.289695","BOUTOUR","undefined","0"
"-8.084168,31.299193","TAMZZARTE","undefined","0"
"-8.066144,31.303526","TIGZITE","undefined","0"
"-8.1429228,31.3089087","TALAT INOUAL","undefined","0"
